datetime,Daily_sm_set1,Daily_sm_set5,13D_sm_set1,13D_sm_set5
2023-03-19 00:00:00+00:00,33.9700,47.6900,44.2500,47.4708
2023-03-20 00:00:00+00:00,33.7500,47.5100,44.3923,47.4938
2023-03-21 00:00:00+00:00,39.6600,47.4800,44.9854,47.5200
2023-03-22 00:00:00+00:00,41.1800,47.6500,45.6946,47.5546
2023-03-23 00:00:00+00:00,36.4800,47.5700,44.4923,47.5808
2023-03-24 00:00:00+00:00,36.1800,47.5800,43.2454,47.5892
2023-03-25 00:00:00+00:00,34.8900,47.5500,42.6115,47.5954
2023-03-26 00:00:00+00:00,32.8000,47.6000,41.2900,47.6062
2023-03-27 00:00:00+00:00,30.8600,47.5500,39.7969,47.6031
2023-03-28 00:00:00+00:00,35.8300,47.5100,38.7238,47.5908
2023-03-29 00:00:00+00:00,50.5400,47.6100,38.7746,47.5931
2023-03-30 00:00:00+00:00,50.8400,47.7300,38.8577,47.5885
2023-03-31 00:00:00+00:00,41.3200,47.7600,38.3308,47.5992
2023-04-01 00:00:00+00:00,36.9600,47.6500,38.5608,47.5962
2023-04-02 00:00:00+00:00,47.5300,47.7800,39.6208,47.6169
2023-04-03 00:00:00+00:00,47.7600,47.6400,40.2438,47.6292
2023-04-04 00:00:00+00:00,40.9000,47.5700,40.2223,47.6231
2023-04-05 00:00:00+00:00,36.2900,47.6700,40.2077,47.6308
2023-04-06 00:00:00+00:00,34.1800,47.6600,40.0538,47.6369
2023-04-07 00:00:00+00:00,39.1200,47.8600,40.3792,47.6608
2023-04-08 00:00:00+00:00,48.5800,47.8600,41.5931,47.6808
2023-04-09 00:00:00+00:00,48.9100,47.8300,42.9815,47.7023
2023-04-10 00:00:00+00:00,48.5100,47.8700,43.9569,47.7300
2023-04-11 00:00:00+00:00,48.4600,47.8600,43.7969,47.7492
2023-04-12 00:00:00+00:00,41.5700,47.6500,43.0838,47.7431
2023-04-13 00:00:00+00:00,34.3400,47.6600,42.5469,47.7354
2023-04-14 00:00:00+00:00,32.2700,47.5400,42.1862,47.7269
2023-04-15 00:00:00+00:00,30.4400,47.4200,40.8715,47.6992
2023-04-16 00:00:00+00:00,29.3900,47.4300,39.4585,47.6831
2023-04-17 00:00:00+00:00,28.2500,47.3800,38.4854,47.6685
2023-04-18 00:00:00+00:00,32.7700,47.4400,38.2146,47.6508
2023-04-19 00:00:00+00:00,29.8100,47.2400,37.8785,47.6185
2023-04-20 00:00:00+00:00,28.2800,47.1100,37.0446,47.5608
2023-04-21 00:00:00+00:00,31.1200,47.2400,35.7015,47.5131
2023-04-22 00:00:00+00:00,34.3600,47.1400,34.5823,47.4600
2023-04-23 00:00:00+00:00,31.9700,47.0900,33.3100,47.4000
2023-04-24 00:00:00+00:00,29.9100,47.0100,31.8831,47.3346
2023-04-25 00:00:00+00:00,35.3900,47.1000,31.4077,47.2923
2023-04-26 00:00:00+00:00,33.2000,47.4100,31.3200,47.2731
2023-04-27 00:00:00+00:00,30.6900,47.3700,31.1985,47.2600
2023-04-28 00:00:00+00:00,28.4200,47.4600,31.0431,47.2631
2023-04-29 00:00:00+00:00,26.6400,47.3200,30.8315,47.2546
2023-04-30 00:00:00+00:00,24.4800,47.3800,30.5415,47.2546
2023-05-01 00:00:00+00:00,20.8800,47.3200,29.6269,47.2454
2023-05-02 00:00:00+00:00,19.0700,47.0600,28.8008,47.2315
2023-05-03 00:00:00+00:00,17.8400,47.1800,27.9977,47.2369
2023-05-04 00:00:00+00:00,16.5400,46.4600,26.8762,47.1769
2023-05-05 00:00:00+00:00,15.6500,45.5700,25.4369,47.0562
2023-05-06 00:00:00+00:00,15.2700,44.5500,24.1523,46.8608
2023-05-07 00:00:00+00:00,15.0600,43.8700,23.0100,46.6192
2023-05-08 00:00:00+00:00,14.8700,43.4000,21.4315,46.3346
2023-05-09 00:00:00+00:00,14.4600,43.1600,19.9900,46.0077
2023-05-10 00:00:00+00:00,14.2000,42.9400,18.7215,45.6669
2023-05-11 00:00:00+00:00,13.5800,42.3500,17.5800,45.2738
2023-05-12 00:00:00+00:00,13.3400,42.2200,16.5569,44.8815
2023-05-13 00:00:00+00:00,12.8700,41.6700,15.6638,44.4423
2023-05-14 00:00:00+00:00,13.8900,41.2000,15.1262,43.9715
2023-05-15 00:00:00+00:00,15.9600,40.7500,14.8869,43.4862
2023-05-16 00:00:00+00:00,14.6100,40.0200,14.6385,42.9354
2023-05-17 00:00:00+00:00,14.1500,39.6900,14.4546,42.4146
2023-05-18 00:00:00+00:00,13.6800,39.4600,14.3031,41.9446
2023-05-19 00:00:00+00:00,13.3200,39.1400,14.1531,41.5285
2023-05-20 00:00:00+00:00,12.8300,38.5200,13.9815,41.1169
2023-05-21 00:00:00+00:00,12.3300,38.1500,13.7862,40.7131
2023-05-22 00:00:00+00:00,11.8400,37.6200,13.5846,40.2869
2023-05-23 00:00:00+00:00,11.5300,37.5000,13.3792,39.8685
2023-05-24 00:00:00+00:00,11.8100,37.2700,13.2431,39.4777
2023-05-25 00:00:00+00:00,11.9600,37.1200,13.1369,39.0854
2023-05-26 00:00:00+00:00,12.1000,37.0100,13.0777,38.7269
2023-05-27 00:00:00+00:00,12.0500,36.7500,12.9362,38.3846
2023-05-28 00:00:00+00:00,12.0700,36.2700,12.6369,38.0400
2023-05-29 00:00:00+00:00,12.0000,35.9100,12.4362,37.7238
2023-05-30 00:00:00+00:00,11.8000,35.5500,12.2554,37.4054
2023-05-31 00:00:00+00:00,11.5900,34.6800,12.0946,37.0377
2023-06-01 00:00:00+00:00,10.9900,34.1800,11.9154,36.6562
2023-06-02 00:00:00+00:00,10.7500,33.5500,11.7554,36.2738
2023-06-03 00:00:00+00:00,10.6600,33.2000,11.6269,35.8931
2023-06-04 00:00:00+00:00,11.0100,32.5400,11.5631,35.5023
2023-06-05 00:00:00+00:00,11.3500,31.8900,11.5492,35.0708
2023-06-06 00:00:00+00:00,11.1900,30.9300,11.5015,34.5831
2023-06-07 00:00:00+00:00,11.3500,30.6800,11.4546,34.0877
2023-06-08 00:00:00+00:00,11.9000,29.8800,11.4392,33.5392
2023-06-09 00:00:00+00:00,12.6200,29.1400,11.4831,32.9538
2023-06-10 00:00:00+00:00,12.9700,28.3600,11.5523,32.3454
2023-06-11 00:00:00+00:00,12.7900,27.4000,11.6131,31.6908
2023-06-12 00:00:00+00:00,12.3700,26.6200,11.6569,31.0038
2023-06-13 00:00:00+00:00,12.2700,26.0700,11.7092,30.3415
2023-06-14 00:00:00+00:00,12.2100,25.6400,11.8031,29.6846
2023-06-15 00:00:00+00:00,17.3800,25.1000,12.3131,29.0346
2023-06-16 00:00:00+00:00,16.9800,24.7700,12.7992,28.3862
2023-06-17 00:00:00+00:00,16.6600,24.4600,13.2338,27.7646
2023-06-18 00:00:00+00:00,16.4300,24.3800,13.6246,27.1869
2023-06-19 00:00:00+00:00,15.6400,23.9800,13.9669,26.6523
2023-06-20 00:00:00+00:00,15.2300,23.5400,14.2654,26.1031
2023-06-21 00:00:00+00:00,14.9900,23.4700,14.5031,25.6100
2023-06-22 00:00:00+00:00,14.7300,22.9600,14.6654,25.1346
2023-06-23 00:00:00+00:00,14.0800,22.5600,14.7508,24.6885
2023-06-24 00:00:00+00:00,12.9800,22.1500,14.7654,24.2846
2023-06-25 00:00:00+00:00,12.3700,21.9100,14.7654,23.9223
2023-06-26 00:00:00+00:00,11.6800,21.2700,14.7200,23.5531
2023-06-27 00:00:00+00:00,11.0800,20.7400,14.6331,23.1762
2023-06-28 00:00:00+00:00,10.5800,20.5200,14.1100,22.8238
2023-06-29 00:00:00+00:00,10.4100,20.4700,13.6046,22.4931
2023-06-30 00:00:00+00:00,10.2300,20.1500,13.1100,22.1615
2023-07-01 00:00:00+00:00,10.0600,19.8800,12.6200,21.8154
2023-07-02 00:00:00+00:00,9.9000,19.7800,12.1785,21.4923
2023-07-03 00:00:00+00:00,9.5100,19.6300,11.7385,21.1915
2023-07-04 00:00:00+00:00,9.2700,19.6900,11.2985,20.9008
2023-07-05 00:00:00+00:00,9.2800,19.5200,10.8792,20.6362
2023-07-06 00:00:00+00:00,9.1500,19.4800,10.5000,20.3992
2023-07-07 00:00:00+00:00,9.0500,19.3400,10.1977,20.1831
2023-07-08 00:00:00+00:00,8.9900,19.3100,9.9377,19.9831
2023-07-09 00:00:00+00:00,8.9400,19.1700,9.7269,19.8215
2023-07-10 00:00:00+00:00,8.7900,19.0600,9.5508,19.6923
2023-07-11 00:00:00+00:00,8.6000,18.9200,9.3985,19.5692
2023-07-12 00:00:00+00:00,8.4700,18.9200,9.2492,19.4500
2023-07-13 00:00:00+00:00,8.3700,18.9100,9.1062,19.3546
2023-07-14 00:00:00+00:00,8.2700,18.8600,8.9685,19.2762
2023-07-15 00:00:00+00:00,8.2000,18.8900,8.8377,19.2077
2023-07-16 00:00:00+00:00,8.1200,18.7900,8.7308,19.1431
2023-07-17 00:00:00+00:00,7.9800,18.7800,8.6315,19.0731
2023-07-18 00:00:00+00:00,7.9400,18.7700,8.5285,19.0154
2023-07-19 00:00:00+00:00,7.8900,18.7300,8.4315,18.9577
2023-07-20 00:00:00+00:00,8.1700,18.8800,8.3638,18.9223
2023-07-21 00:00:00+00:00,8.3200,18.7600,8.3123,18.8800
2023-07-22 00:00:00+00:00,8.1900,18.8000,8.2546,18.8515
2023-07-23 00:00:00+00:00,8.0500,18.6900,8.1977,18.8231
2023-07-24 00:00:00+00:00,7.9300,18.7200,8.1462,18.8077
2023-07-25 00:00:00+00:00,7.9600,18.7400,8.1069,18.7938
2023-07-26 00:00:00+00:00,7.9200,18.7600,8.0723,18.7823
2023-07-27 00:00:00+00:00,8.3000,18.7600,8.0746,18.7746
2023-07-28 00:00:00+00:00,8.6000,18.6500,8.1054,18.7562
2023-07-29 00:00:00+00:00,8.5300,18.7900,8.1369,18.7562
2023-07-30 00:00:00+00:00,8.2900,18.6300,8.1608,18.7446
2023-07-31 00:00:00+00:00,8.1300,18.7400,8.1754,18.7423
2023-08-01 00:00:00+00:00,8.0500,18.6500,8.1877,18.7362
2023-08-02 00:00:00+00:00,13.2500,18.7200,8.5785,18.7238
2023-08-03 00:00:00+00:00,16.4300,18.6500,9.2023,18.7154
2023-08-04 00:00:00+00:00,29.4600,18.7500,10.8385,18.7115
2023-08-05 00:00:00+00:00,24.8800,18.7200,12.1331,18.7138
2023-08-06 00:00:00+00:00,23.0600,18.7500,13.2969,18.7162
2023-08-07 00:00:00+00:00,21.5000,18.8000,14.3385,18.7208
2023-08-08 00:00:00+00:00,20.7600,18.8100,15.3262,18.7246
2023-08-09 00:00:00+00:00,19.8200,18.6900,16.2123,18.7192
2023-08-10 00:00:00+00:00,18.8900,18.7800,17.0038,18.7292
2023-08-11 00:00:00+00:00,17.8300,18.7400,17.7192,18.7254
2023-08-12 00:00:00+00:00,15.9900,18.9600,18.3115,18.7508
2023-08-13 00:00:00+00:00,14.5600,18.7900,18.8062,18.7546
2023-08-14 00:00:00+00:00,13.1700,18.9200,19.2000,18.7754
