time,EWT[mm]
2002.3260273972603,54.734087676812116
2002.372602739726,64.14090689644513
2002.66301369863,-48.87627928173755
2002.7452054794521,-104.27930921871177
2002.8301369863013,-86.8094590111986
2002.9123287671232,-51.15260712134617
2002.9972602739726,-50.40339430457014
2003.0821917808219,-80.67095864895481
2003.158904109589,20.838255989500038
2003.2438356164384,19.9949240222754
2003.3260273972603,24.971072878309943
2003.3835616438357,26.81752475336694
2003.5780821917808,-65.09190897264945
2003.66301369863,-96.64450780735329
2003.7452054794521,-111.42400246607812
2003.8301369863013,-99.0510941688219
2003.9123287671232,-71.34920972920371
2003.9972602739726,-62.18320615181236
2004.032786885246,-10.117557989823982
2004.1612021857923,5.815094116816726
2004.2459016393443,19.530209711660344
2004.327868852459,27.858825615541484
2004.4125683060108,5.901208411897166
2004.4945355191257,-36.720889866239936
2004.5792349726776,-53.87637513469216
2004.6639344262296,-79.55720671901811
2004.7459016393443,-98.62039653518377
2004.8306010928961,-90.13354058296169
2004.9125683060108,-52.25727067666438
2004.9972677595629,-18.164179037033477
2005.0821917808219,31.043991229403407
2005.158904109589,58.447363042183476
2005.2438356164384,67.65871449929935
2005.3260273972603,76.6383180754326
2005.4109589041095,96.94420970197584
2005.4931506849316,67.70963451834545
2005.5780821917808,5.648504878306571
2005.66301369863,-39.19271299703404
2005.7452054794521,-64.75433674919985
2005.8301369863013,-46.12892342739538
2005.9123287671232,-35.695893185520866
2005.9972602739726,2.399263147460427
2006.0821917808219,35.75676292677039
2006.158904109589,49.34466010264531
2006.2438356164384,70.77384125463621
2006.3260273972603,115.37612589272801
2006.4109589041095,73.34741186983307
2006.4931506849316,33.354628588001084
2006.5780821917808,-5.2251013594778986
2006.66301369863,-37.72306740707726
2006.7452054794521,-63.56004675368461
2006.8301369863013,-26.47608678099202
2006.9123287671232,-20.052621204916697
2006.9972602739726,-0.1287515685781046
2007.0821917808219,18.637305138019833
2007.1561643835616,25.312398767072366
2007.2438356164384,18.852935828558422
2007.3260273972603,46.313943803802616
2007.4109589041095,38.140127008292744
2007.4931506849316,9.610768340093744
2007.5780821917808,-45.81092181200767
2007.66301369863,-53.39595175860206
2007.7452054794521,-68.65728618494691
2007.8301369863013,-70.77519991587003
2007.9123287671232,-83.24246411489163
2007.9972602739726,-31.33839502246835
2008.0819672131147,5.571771554603629
2008.1612021857923,51.96428724172562
2008.2459016393443,57.11832639578684
2008.327868852459,54.13964599233868
2008.4125683060108,34.13763810009434
2008.4945355191257,26.32667099532543
2008.5792349726776,-33.65669099842374
2008.6639344262296,-54.673840165684624
2008.7459016393443,-70.16033881600914
2008.8306010928961,-69.17341894880121
2008.9125683060108,-61.66126740983199
2008.9972677595629,-39.42075286861949
2009.0821917808219,-0.704685577592634
2009.158904109589,12.326203252518656
