datetime,301_gw_elev,302_gw_elev,303_gw_elev,13D_smooth_GW301_m,13D_smooth_GW302_m,13D_smooth_GW303_m
2023-06-07,1707.7050,1707.4410,1706.9921,1707.7865,1707.5216,1707.0273
2023-06-08,1707.6860,1707.4302,1706.9940,1707.7723,1707.5075,1707.0215
2023-06-09,1707.6733,1707.4177,1706.9840,1707.7590,1707.4940,1707.0157
2023-06-10,1707.6692,1707.4083,1706.9754,1707.7463,1707.4812,1707.0096
2023-06-11,1707.6529,1707.3990,1706.9688,1707.7332,1707.4689,1707.0037
2023-06-12,1707.6421,1707.3958,1706.9673,1707.7201,1707.4575,1706.9984
2023-06-13,1707.6325,1707.3910,1706.9656,1707.7072,1707.4469,1706.9937
2023-06-14,1707.6194,1707.3848,1706.9604,1707.6939,1707.4364,1706.9887
2023-06-15,1707.6152,1707.3860,1706.9658,1707.6815,1707.4268,1706.9847
2023-06-16,1707.6119,1707.3819,1706.9660,1707.6703,1707.4183,1706.9808
2023-06-17,1707.5948,1707.3685,1706.9523,1707.6587,1707.4096,1706.9762
2023-06-18,1707.5871,1707.3650,1706.9458,1707.6474,1707.4019,1706.9719
2023-06-19,1707.5796,1707.3585,1706.9423,1707.6361,1707.3944,1706.9677
2023-06-20,1707.5844,1707.3608,1706.9410,1707.6268,1707.3883,1706.9637
2023-06-21,1707.5821,1707.3600,1706.9373,1707.6188,1707.3829,1706.9594
2023-06-22,1707.5781,1707.3485,1706.9312,1707.6115,1707.3775,1706.9553
2023-06-23,1707.5756,1707.3385,1706.9242,1707.6043,1707.3722,1706.9514
2023-06-24,1707.5615,1707.3335,1706.9208,1707.5973,1707.3671,1706.9477
2023-06-25,1707.5331,1707.3248,1706.9158,1707.5889,1707.3617,1706.9437
2023-06-26,1707.5044,1707.3129,1706.9094,1707.5790,1707.3557,1706.9394
2023-06-27,1707.4827,1707.3094,1706.9062,1707.5685,1707.3499,1706.9352
2023-06-28,1707.4715,1707.3100,1706.9071,1707.5574,1707.3440,1706.9307
2023-06-29,1707.4677,1707.3115,1706.9081,1707.5464,1707.3386,1706.9263
2023-06-30,1707.4571,1707.3017,1706.9013,1707.5358,1707.3335,1706.9223
2023-07-01,1707.4471,1707.2956,1706.8954,1707.5250,1707.3281,1706.9185
2023-07-02,1707.4362,1707.2848,1706.8888,1707.5140,1707.3225,1706.9144
2023-07-03,1707.4283,1707.2769,1706.8829,1707.5020,1707.3160,1706.9099
2023-07-04,1707.4250,1707.2752,1706.8810,1707.4899,1707.3095,1706.9056
2023-07-05,1707.4229,1707.2735,1706.8791,1707.4779,1707.3037,1706.9015
2023-07-06,1707.4242,1707.2758,1706.8775,1707.4663,1707.2989,1706.8980
2023-07-07,1707.4156,1707.2685,1706.8708,1707.4551,1707.2939,1706.8941
2023-07-08,1707.4094,1707.2621,1706.8660,1707.4455,1707.2891,1706.8903
2023-07-09,1707.4010,1707.2552,1706.8615,1707.4376,1707.2846,1706.8866
2023-07-10,1707.3900,1707.2477,1706.8542,1707.4305,1707.2799,1706.8826
2023-07-11,1707.3825,1707.2440,1706.8479,1707.4236,1707.2748,1706.8780
2023-07-12,1707.3748,1707.2400,1706.8448,1707.4165,1707.2693,1706.8732
2023-07-13,1707.3706,1707.2390,1706.8404,1707.4098,1707.2645,1706.8685
2023-07-14,1707.3660,1707.2369,1706.8369,1707.4036,1707.2600,1706.8640
2023-07-15,1707.3617,1707.2352,1706.8346,1707.3978,1707.2562,1706.8598
2023-07-16,1707.3519,1707.2296,1706.8296,1707.3920,1707.2525,1706.8557
2023-07-17,1707.3375,1707.2215,1706.8229,1707.3852,1707.2484,1706.8512
2023-07-18,1707.3363,1707.2233,1706.8188,1707.3786,1707.2445,1706.8466
2023-07-19,1707.3469,1707.2327,1706.8254,1707.3726,1707.2412,1706.8426
2023-07-20,1707.3590,1707.2388,1706.8327,1707.3683,1707.2389,1706.8397
2023-07-21,1707.3440,1707.2292,1706.8250,1707.3632,1707.2364,1706.8365
2023-07-22,1707.3235,1707.2173,1706.8144,1707.3573,1707.2335,1706.8329
2023-07-23,1707.3142,1707.2135,1706.8069,1707.3515,1707.2308,1706.8293
2023-07-24,1707.3131,1707.2167,1706.8065,1707.3461,1707.2287,1706.8261
2023-07-25,1707.3190,1707.2217,1706.8094,1707.3418,1707.2273,1706.8233
2023-07-26,1707.3169,1707.2212,1706.8071,1707.3377,1707.2260,1706.8208
2023-07-27,1707.3215,1707.2250,1706.8148,1707.3343,1707.2251,1706.8191
2023-07-28,1707.3096,1707.2169,1706.8054,1707.3303,1707.2236,1706.8168
2023-07-29,1707.2983,1707.2088,1706.7960,1707.3261,1707.2220,1706.8143
2023-07-30,1707.2904,1707.2054,1706.7912,1707.3225,1707.2208,1706.8118
2023-07-31,1707.2931,1707.2081,1706.7898,1707.3192,1707.2196,1706.8096
2023-08-01,1707.3010,1707.2152,1706.7912,1707.3157,1707.2183,1706.8070
