time,water level[cm]
1990.0027397260274,210.61962732486427
1990.0054794520547,210.61962732486427
1990.0082191780823,210.61962732486427
1990.0109589041097,210.61962732486427
1990.013698630137,210.61962732486427
1990.0164383561644,210.61962732486427
1990.0191780821917,210.61962732486427
1990.021917808219,210.61962732486427
1990.0246575342467,210.61962732486427
1990.027397260274,210.61962732486427
1990.0301369863014,210.61962732486427
1990.0328767123287,210.61962732486427
1990.035616438356,210.61962732486427
1990.0383561643835,210.61962732486427
1990.041095890411,210.61962732486427
1990.0438356164384,210.61962732486427
1990.0465753424658,213.66762732490315
1990.0493150684931,210.61962732486427
1990.0520547945205,210.61962732486427
1990.054794520548,210.61962732486427
1990.0575342465754,210.61962732486427
1990.0602739726028,213.66762732490315
1990.0630136986301,210.61962732486427
1990.0657534246575,210.61962732486427
1990.0684931506848,213.66762732490315
1990.0712328767124,210.61962732486427
1990.0739726027398,210.61962732486427
1990.0767123287671,210.61962732486427
1990.0794520547945,210.61962732486427
1990.0821917808219,210.61962732486427
1990.0849315068492,210.61962732486427
1990.0876712328768,210.61962732486427
1990.0904109589042,210.61962732486427
1990.0931506849315,210.61962732486427
1990.0958904109589,210.61962732486427
1990.0986301369862,210.61962732486427
1990.1013698630136,213.66762732490315
1990.1041095890412,210.61962732486427
1990.1068493150685,210.61962732486427
1990.109589041096,210.61962732486427
1990.1123287671232,210.61962732486427
1990.1150684931506,213.66762732490315
1990.1178082191782,213.66762732490315
1990.1205479452055,219.76362732487905
1990.123287671233,213.66762732490315
1990.1260273972603,210.61962732486427
1990.1287671232876,210.61962732486427
1990.131506849315,210.61962732486427
1990.1342465753426,213.66762732490315
1990.13698630137,213.66762732490315
1990.1397260273973,210.61962732486427
1990.1424657534246,210.61962732486427
1990.145205479452,210.61962732486427
1990.1479452054793,213.66762732490315
1990.150684931507,210.61962732486427
1990.1534246575343,213.66762732490315
1990.1561643835616,213.66762732490315
1990.158904109589,213.66762732490315
1990.1616438356164,213.66762732490315
1990.164383561644,213.66762732490315
1990.1671232876713,213.66762732490315
1990.1698630136987,213.66762732490315
1990.172602739726,219.76362732487905
1990.1753424657534,219.76362732487905
1990.1780821917807,219.76362732487905
1990.1808219178083,213.66762732490315
1990.1835616438357,213.66762732490315
1990.186301369863,213.66762732490315
1990.1890410958904,219.76362732487905
1990.1917808219177,219.76362732487905
1990.194520547945,219.76362732487905
1990.1972602739727,219.76362732487905
1990.2,219.76362732487905
1990.2027397260274,219.76362732487905
1990.2054794520548,219.76362732487905
1990.2082191780821,219.76362732487905
1990.2109589041097,219.76362732487905
1990.213698630137,219.76362732487905
1990.2164383561644,219.76362732487905
1990.2191780821918,219.76362732487905
1990.2219178082191,219.76362732487905
1990.2246575342465,219.76362732487905
1990.227397260274,219.76362732487905
1990.2301369863014,219.76362732487905
1990.2328767123288,219.76362732487905
1990.2356164383561,219.76362732487905
1990.2383561643835,219.76362732487905
1990.2410958904109,219.76362732487905
1990.2438356164384,219.76362732487905
1990.2465753424658,219.76362732487905
1990.2493150684932,219.76362732487905
1990.2520547945205,213.66762732490315
1990.2547945205479,213.66762732490315
1990.2575342465752,213.66762732490315
1990.2602739726028,213.66762732490315
1990.2630136986302,213.66762732490315
1990.2657534246575,213.66762732490315
1990.268493150685,219.76362732487905
1990.2712328767122,219.76362732487905
1990.2739726027398,219.76362732487905
1990.2767123287672,219.76362732487905
1990.2794520547945,219.76362732487905
1990.282191780822,213.66762732490315
1990.2849315068493,213.66762732490315
1990.2876712328766,219.76362732487905
1990.2904109589042,213.66762732490315
1990.2931506849316,213.66762732490315
1990.295890410959,213.66762732490315
1990.2986301369863,213.66762732490315
1990.3013698630136,213.66762732490315
1990.304109589041,213.66762732490315
1990.3068493150686,213.66762732490315
1990.309589041096,219.76362732487905
1990.3123287671233,219.76362732487905
1990.3150684931506,219.76362732487905
1990.317808219178,213.66762732490315
1990.3205479452056,219.76362732487905
1990.323287671233,213.66762732490315
1990.3260273972603,219.76362732487905
1990.3287671232877,219.76362732487905
1990.331506849315,213.66762732490315
1990.3342465753424,219.76362732487905
1990.33698630137,213.66762732490315
1990.3397260273973,213.66762732490315
1990.3424657534247,213.66762732490315
1990.345205479452,213.66762732490315
1990.3479452054794,219.76362732487905
1990.3506849315067,210.61962732486427
1990.3534246575343,210.61962732486427
1990.3561643835617,213.66762732490315
1990.358904109589,210.61962732486427
1990.3616438356164,210.61962732486427
1990.3643835616438,210.61962732486427
1990.3671232876711,210.61962732486427
1990.3698630136987,210.61962732486427
1990.372602739726,210.61962732486427
1990.3753424657534,210.61962732486427
1990.3780821917808,210.61962732486427
1990.3808219178081,210.61962732486427
1990.3835616438357,210.61962732486427
1990.386301369863,210.61962732486427
1990.3890410958904,210.61962732486427
1990.3917808219178,204.52362732488837
1990.3945205479451,210.61962732486427
1990.3972602739725,210.61962732486427
1990.4,210.61962732486427
1990.4027397260274,204.52362732488837
1990.4054794520548,204.52362732488837
1990.4082191780822,204.52362732488837
1990.4109589041095,210.61962732486427
1990.4136986301369,204.52362732488837
1990.4164383561645,204.52362732488837
1990.4191780821918,204.52362732488837
1990.4219178082192,210.61962732486427
1990.4246575342465,210.61962732486427
1990.427397260274,210.61962732486427
1990.4301369863015,204.52362732488837
1990.4328767123288,204.52362732488837
1990.4356164383562,204.52362732488837
1990.4383561643835,204.52362732488837
1990.441095890411,204.52362732488837
1990.4438356164383,204.52362732488837
1990.4465753424658,204.52362732488837
1990.4493150684932,204.52362732488837
1990.4520547945206,204.52362732488837
1990.454794520548,204.52362732488837
