dv/v,err,date
-0.016358,0.006983,20230603
-0.014881,0.006420,20230604
-0.014175,0.006043,20230605
-0.014044,0.005933,20230606
-0.014107,0.005531,20230607
-0.013744,0.005318,20230608
-0.013703,0.005172,20230609
-0.013436,0.005122,20230610
-0.013090,0.005123,20230611
-0.012889,0.005067,20230612
-0.012485,0.004999,20230613
-0.012314,0.004903,20230614
-0.012022,0.004876,20230615
-0.011651,0.004727,20230616
-0.011499,0.004617,20230617
-0.011349,0.004604,20230618
-0.010954,0.004528,20230619
-0.010774,0.004498,20230620
-0.010696,0.004473,20230621
-0.010799,0.004415,20230622
-0.010940,0.004301,20230623
-0.011178,0.004206,20230624
-0.011249,0.004151,20230625
-0.011391,0.004053,20230626
-0.011423,0.003942,20230627
-0.011638,0.003820,20230628
-0.011909,0.003674,20230629
-0.012033,0.003551,20230630
-0.012237,0.003428,20230701
-0.012399,0.003364,20230702
-0.012364,0.003279,20230703
-0.012257,0.003184,20230704
-0.012164,0.002836,20230706
-0.012262,0.002559,20230707
-0.012340,0.002395,20230708
-0.012341,0.002327,20230709
-0.012415,0.002339,20230710
-0.012596,0.002388,20230711
-0.012649,0.002527,20230712
-0.012876,0.002757,20230713
-0.013086,0.003051,20230714
-0.013183,0.003436,20230715
-0.013257,0.003834,20230716
-0.013360,0.004138,20230717
-0.013334,0.004127,20230718
-0.013282,0.004129,20230719
-0.013125,0.004163,20230720
-0.012929,0.004157,20230721
-0.012723,0.004168,20230722
-0.012343,0.004086,20230723
-0.012063,0.004017,20230724
-0.011754,0.003958,20230725
-0.011394,0.003910,20230726
-0.011029,0.003892,20230727
-0.010760,0.003841,20230728
-0.010464,0.003740,20230729
-0.009949,0.003617,20230730
-0.009335,0.003519,20230731
-0.007182,0.003429,20230801
-0.006714,0.003312,20230802
-0.006016,0.003170,20230803
-0.005787,0.003099,20230804
-0.005725,0.003048,20230805
-0.005274,0.002934,20230806
-0.000862,0.002253,20230812
-0.000060,0.001771,20230813
0.000550,0.001404,20230814
0.000764,0.001467,20230815
0.001165,0.001860,20230816
0.001468,0.002131,20230817
0.002307,0.002544,20230818
0.003768,0.002792,20230819
0.004168,0.002765,20230820
0.004226,0.002803,20230821
0.004293,0.002763,20230822
0.004255,0.002728,20230823
0.004228,0.002720,20230824
0.004258,0.002729,20230825
0.004229,0.002715,20230826
0.004212,0.002740,20230827
0.004296,0.002731,20230828
0.004488,0.002757,20230829
0.004599,0.002768,20230830
0.004619,0.002765,20230831
0.004740,0.002760,20230901
0.004558,0.002753,20230902
0.004489,0.002723,20230903
0.004548,0.002745,20230904
0.004445,0.002777,20230905
0.004459,0.002788,20230906
0.004404,0.002831,20230907
0.004324,0.002858,20230908
0.004337,0.002891,20230909
0.004428,0.002987,20230910
0.004481,0.003093,20230911
0.004523,0.003142,20230913
0.004542,0.003075,20230914
0.004693,0.002937,20230915
0.004820,0.002819,20230916
0.004981,0.002709,20230917
0.005531,0.002576,20230918
0.005685,0.002508,20230919
0.005783,0.002449,20230920
0.005930,0.002454,20230921
0.006063,0.002469,20230922
0.006083,0.002547,20230923
0.006240,0.002588,20230924
0.006392,0.002612,20230925
0.006374,0.002640,20230926
0.006235,0.002671,20230927
0.006105,0.002661,20230928
0.006049,0.002661,20230929
0.005883,0.002668,20230930
0.005804,0.002698,20231001
0.005714,0.002627,20231002
0.005321,0.002542,20231003
0.004947,0.002423,20231004
0.004555,0.002367,20231005
0.004091,0.002271,20231006
0.003515,0.002205,20231007
0.003076,0.002153,20231008
0.002881,0.002135,20231009
0.002614,0.002098,20231010
0.002403,0.002075,20231011
0.001647,0.001996,20231012
0.000947,0.001888,20231013
0.000690,0.001858,20231014
0.000690,0.001856,20231017
0.000628,0.001955,20231018
0.000476,0.002031,20231019
0.000296,0.002087,20231020
-0.000053,0.002138,20231021
0.000753,0.002291,20231022
0.001511,0.002532,20231023
0.002201,0.002931,20231024
0.002872,0.003192,20231025
0.004110,0.003537,20231026
0.005076,0.003918,20231027
0.005403,0.004016,20231028
0.005785,0.004121,20231029
0.007128,0.004848,20231030
0.008152,0.005295,20231031
0.008808,0.005532,20231101
0.009054,0.005558,20231102
0.008658,0.005342,20231103
0.008351,0.005165,20231104
0.008629,0.005241,20231105
0.008662,0.005258,20231106
0.008422,0.005228,20231107
0.008566,0.005241,20231108
0.008416,0.005155,20231109
0.008128,0.005021,20231110
0.007887,0.004898,20231111
0.007863,0.004848,20231112
0.007185,0.003736,20231113
0.007169,0.003779,20231114
0.007104,0.003822,20231115
0.007069,0.003866,20231116
0.008429,0.003767,20231117
