dv/v,err,date
-0.002632,0.013252,20230603
-0.000614,0.011248,20230604
-0.001224,0.010750,20230605
-0.001996,0.010931,20230606
-0.001669,0.011207,20230607
-0.001471,0.011945,20230608
-0.001211,0.011722,20230609
-0.001739,0.010697,20230610
-0.001633,0.010099,20230612
-0.001313,0.010052,20230613
-0.001066,0.009840,20230614
-0.000850,0.009218,20230615
-0.000019,0.008929,20230616
-0.000544,0.009141,20230617
-0.001338,0.008972,20230618
-0.002480,0.009440,20230619
-0.003437,0.008960,20230620
-0.002886,0.008228,20230621
-0.002968,0.008079,20230622
-0.002710,0.008534,20230623
-0.002939,0.008197,20230624
-0.003922,0.009046,20230625
-0.003979,0.009082,20230626
-0.003738,0.009192,20230627
-0.003401,0.010821,20230628
-0.003784,0.009461,20230629
-0.002780,0.008455,20230630
-0.002883,0.008904,20230701
-0.002308,0.009598,20230702
-0.001780,0.009318,20230703
-0.001670,0.010594,20230704
-0.001361,0.008992,20230706
-0.000295,0.009028,20230707
0.000197,0.009517,20230708
-0.000132,0.009600,20230709
0.000529,0.009469,20230710
0.001683,0.008595,20230711
0.001762,0.008272,20230712
0.001746,0.008744,20230713
0.002258,0.009240,20230714
0.001835,0.009303,20230715
0.002203,0.009553,20230716
0.002275,0.008885,20230717
0.002483,0.008168,20230718
0.002966,0.007641,20230719
0.003040,0.007082,20230720
0.003465,0.006455,20230721
0.003585,0.005883,20230722
0.002596,0.005181,20230723
0.001530,0.005207,20230724
0.003191,0.005248,20230725
0.003445,0.005033,20230726
0.003227,0.004817,20230727
0.004048,0.004573,20230728
0.004183,0.004282,20230729
0.001712,0.004147,20230730
0.001970,0.004134,20230731
0.002180,0.004168,20230801
0.001750,0.004098,20230802
0.001627,0.004069,20230803
0.002030,0.004235,20230804
0.004823,0.004195,20230805
0.001606,0.004448,20230806
0.004646,0.004650,20230807
0.005603,0.005359,20230812
0.001896,0.005720,20230813
0.001562,0.005619,20230814
0.001946,0.005259,20230815
0.001607,0.005444,20230816
0.000685,0.005719,20230817
0.000633,0.006000,20230818
-0.000236,0.006073,20230819
-0.001184,0.005978,20230820
-0.001495,0.005705,20230821
-0.001705,0.005606,20230822
-0.001632,0.005589,20230823
-0.001704,0.005546,20230824
-0.002461,0.005455,20230825
-0.002356,0.005442,20230826
-0.003187,0.005509,20230827
-0.003198,0.005543,20230828
-0.003192,0.005571,20230829
-0.003318,0.005583,20230830
-0.003266,0.005598,20230831
-0.003123,0.005526,20230901
-0.003222,0.005572,20230902
-0.003439,0.005741,20230903
-0.003545,0.005802,20230904
-0.003467,0.005778,20230905
-0.003571,0.005862,20230906
-0.003437,0.005967,20230907
-0.003608,0.006020,20230908
-0.003679,0.006041,20230909
-0.002240,0.006161,20230910
-0.002281,0.006124,20230911
-0.002164,0.006139,20230912
-0.003825,0.006102,20230913
-0.004123,0.006065,20230914
-0.004154,0.005987,20230915
0.016132,0.024041,20231018
0.011653,0.022921,20231019
0.012474,0.018163,20231020
0.012449,0.016133,20231021
0.009167,0.017444,20231022
0.010237,0.017608,20231023
0.007976,0.018218,20231024
0.007715,0.018420,20231025
0.007199,0.017402,20231026
0.002924,0.017012,20231027
0.002474,0.017540,20231028
0.001788,0.018365,20231029
0.001183,0.017763,20231030
-0.001709,0.016324,20231031
-0.002101,0.016362,20231101
-0.002764,0.016640,20231102
-0.003499,0.017275,20231103
-0.005039,0.017595,20231104
-0.005217,0.017834,20231105
-0.004644,0.017643,20231106
-0.005227,0.017396,20231107
-0.006468,0.018518,20231108
-0.006727,0.018828,20231109
-0.004166,0.018493,20231110
-0.003984,0.018078,20231111
-0.003997,0.018674,20231112
-0.003436,0.018850,20231113
-0.003091,0.019126,20231114
-0.002627,0.020042,20231115
-0.004378,0.020852,20231116
-0.003844,0.020892,20231117
-0.004947,0.021754,20231118
-0.006042,0.024810,20231119
-0.007474,0.031884,20231120
