dv/v,err,date
-0.000126,0.005982,20230603
0.000944,0.004297,20230604
0.002193,0.003105,20230605
0.003287,0.002410,20230606
0.003346,0.002204,20230607
0.003235,0.002250,20230608
0.003239,0.002190,20230609
0.002931,0.002200,20230610
0.003343,0.002095,20230612
0.003631,0.002184,20230613
0.004011,0.002118,20230614
0.004202,0.002040,20230615
0.004614,0.002090,20230616
0.004270,0.002167,20230617
0.003827,0.001997,20230618
0.003247,0.001845,20230619
0.002956,0.001745,20230620
0.003425,0.001910,20230621
0.003472,0.001982,20230622
0.003723,0.001960,20230623
0.003100,0.001893,20230624
0.001950,0.001975,20230625
0.001525,0.001764,20230626
0.001099,0.001805,20230627
0.000995,0.001883,20230628
0.001174,0.001960,20230629
0.001322,0.002006,20230630
0.001389,0.002155,20230701
0.001144,0.002501,20230702
0.000970,0.002476,20230703
0.000385,0.002560,20230704
0.000377,0.002674,20230706
0.001377,0.002708,20230707
0.001580,0.002906,20230708
0.001514,0.003098,20230709
0.001651,0.002973,20230710
0.002153,0.002908,20230711
0.001948,0.003023,20230712
0.002128,0.002956,20230713
0.002430,0.003064,20230714
0.002287,0.003126,20230715
0.002160,0.003191,20230716
0.002358,0.003125,20230717
0.002102,0.003059,20230718
0.001865,0.002939,20230719
0.001590,0.002653,20230720
0.001730,0.002631,20230721
0.001587,0.002494,20230722
0.001377,0.002676,20230723
0.001224,0.002769,20230724
0.001036,0.002901,20230725
0.000713,0.003003,20230726
0.000609,0.002958,20230727
0.000565,0.002964,20230728
0.000539,0.002666,20230729
0.000779,0.002868,20230730
0.000879,0.002768,20230731
0.000704,0.002722,20230801
0.000165,0.002871,20230802
0.000130,0.002741,20230803
0.000425,0.002837,20230804
0.001044,0.002593,20230805
0.001522,0.002587,20230806
0.001623,0.002620,20230807
0.004151,0.003199,20230812
0.004333,0.003679,20230813
0.005412,0.003832,20230814
0.005164,0.004142,20230815
0.006855,0.004224,20230816
0.007820,0.004522,20230817
0.008265,0.004756,20230818
0.008683,0.005026,20230819
0.009584,0.005636,20230820
0.009584,0.005524,20230821
0.009877,0.005454,20230822
0.009745,0.005393,20230823
0.009713,0.005377,20230824
0.009863,0.005167,20230825
0.009911,0.005554,20230826
0.009489,0.005929,20230827
0.009604,0.005845,20230828
0.008755,0.005916,20230829
0.008149,0.006184,20230830
0.008519,0.006193,20230831
0.008499,0.006109,20230901
0.008776,0.006169,20230902
0.008639,0.006411,20230903
0.008181,0.006454,20230904
0.008028,0.006651,20230905
0.007724,0.006670,20230906
0.008446,0.006640,20230907
0.008867,0.006485,20230908
0.009385,0.006615,20230909
0.005994,0.006837,20230910
0.006105,0.007163,20230911
0.005874,0.007287,20230912
0.006746,0.007479,20230913
0.006771,0.007661,20230914
0.006518,0.007803,20230915
-0.012507,0.042539,20231018
-0.017546,inf,20231019
-0.018135,inf,20231020
-0.018068,inf,20231021
-0.017680,inf,20231022
-0.019302,inf,20231023
-0.019434,inf,20231024
-0.019869,inf,20231025
-0.019339,inf,20231026
-0.019465,0.211524,20231027
-0.019383,0.156308,20231028
-0.019183,0.207791,20231029
-0.019387,0.189843,20231030
-0.020528,0.053889,20231031
-0.021236,0.048387,20231101
-0.021364,0.042409,20231102
-0.021780,0.041045,20231103
-0.022376,0.045427,20231104
-0.021511,0.065396,20231105
-0.020877,0.078955,20231106
-0.021548,0.107115,20231107
-0.022480,0.280796,20231108
-0.023682,inf,20231109
-0.027753,0.768062,20231110
-0.029180,inf,20231111
-0.029445,inf,20231112
-0.029661,inf,20231113
-0.029091,inf,20231114
-0.028680,inf,20231115
-0.028532,inf,20231116
-0.028864,inf,20231117
-0.028448,inf,20231118
-0.028715,inf,20231119
-0.028351,inf,20231120
