dv/v,err,date
-0.003535,0.010372,20230603
0.003703,0.010297,20230604
0.002072,0.007243,20230605
-0.000569,0.006760,20230606
-0.000619,0.005863,20230607
-0.001348,0.005635,20230608
-0.000324,0.005219,20230609
-0.002461,0.005272,20230610
-0.001001,0.005449,20230611
-0.002013,0.005352,20230612
-0.001911,0.005296,20230613
-0.002173,0.005163,20230614
-0.000983,0.005135,20230615
-0.003293,0.006373,20230616
-0.002903,0.006082,20230617
-0.002819,0.006208,20230618
-0.002360,0.006252,20230619
-0.002503,0.006097,20230620
-0.001555,0.005729,20230621
-0.001725,0.005510,20230622
-0.000980,0.005115,20230623
-0.001647,0.004758,20230624
-0.002028,0.004850,20230625
-0.002020,0.004697,20230626
-0.001872,0.004487,20230627
-0.001936,0.004226,20230628
-0.001439,0.002571,20230629
-0.001708,0.002166,20230630
-0.002050,0.002028,20230701
-0.002083,0.002075,20230702
-0.001999,0.002017,20230703
-0.002077,0.002039,20230704
-0.002202,0.002038,20230706
-0.002386,0.001966,20230707
-0.002284,0.001827,20230708
-0.002104,0.001879,20230709
-0.002121,0.001896,20230710
-0.002108,0.001828,20230711
-0.002174,0.001788,20230712
-0.002401,0.001841,20230713
-0.002457,0.001753,20230714
-0.002457,0.001738,20230715
-0.002404,0.001885,20230716
-0.002279,0.001828,20230717
-0.002363,0.001791,20230718
-0.002337,0.001743,20230719
-0.002351,0.001688,20230720
-0.002503,0.001722,20230721
-0.002796,0.001786,20230722
-0.002650,0.001733,20230723
-0.002209,0.001783,20230724
-0.002107,0.001755,20230725
-0.002098,0.001778,20230726
-0.002030,0.002002,20230727
-0.002048,0.002168,20230728
-0.002372,0.002426,20230729
-0.002365,0.002467,20230730
-0.002321,0.002513,20230731
-0.002352,0.002640,20230801
-0.002179,0.002502,20230802
-0.000419,0.002700,20230803
0.000150,0.003364,20230804
0.000192,0.003408,20230805
0.000322,0.003972,20230806
0.000426,0.003866,20230807
0.001260,0.003538,20230808
0.001692,0.004724,20230812
0.001897,0.004733,20230813
0.002361,0.004706,20230814
0.002315,0.004785,20230815
0.000729,0.004026,20230816
-0.001449,0.002911,20230817
-0.001911,0.002522,20230818
-0.002061,0.002453,20230819
-0.002255,0.002439,20230820
-0.002710,0.002630,20230821
-0.002886,0.002611,20230822
-0.003520,0.002636,20230823
-0.004082,0.002668,20230824
-0.003940,0.002599,20230825
-0.003805,0.002743,20230826
-0.003821,0.002679,20230827
-0.003823,0.002654,20230828
-0.003750,0.002692,20230829
-0.003586,0.002763,20230830
-0.003485,0.002608,20230831
-0.003722,0.002708,20230901
-0.003795,0.002779,20230902
-0.003675,0.002657,20230903
-0.003488,0.002662,20230904
-0.002585,0.003007,20230905
-0.002214,0.002973,20230906
-0.001324,0.003076,20230907
-0.001086,0.003172,20230908
-0.001117,0.003144,20230909
-0.000642,0.003147,20230910
-0.000807,0.002990,20230911
-0.000341,0.002953,20230913
0.000237,0.002716,20230914
0.000263,0.002566,20230915
0.000374,0.002515,20230916
0.000543,0.002459,20230917
0.000378,0.002095,20230918
0.001480,0.001810,20230919
0.002264,0.001677,20230920
0.002300,0.001595,20230921
0.003009,0.001701,20230922
0.002341,0.001750,20230923
0.002756,0.001752,20230924
0.002676,0.001851,20230925
0.002963,0.001826,20230926
0.003066,0.001799,20230927
0.002927,0.001781,20230928
0.003165,0.001860,20230929
0.003267,0.001877,20230930
0.003234,0.001881,20231001
0.003062,0.001954,20231002
0.002836,0.001882,20231003
0.002251,0.002154,20231004
0.001647,0.002107,20231005
0.001190,0.002513,20231006
0.001149,0.002979,20231007
0.001363,0.003230,20231008
0.000494,0.003279,20231009
0.000254,0.003302,20231010
0.000471,0.003020,20231011
0.001415,0.002923,20231012
0.001390,0.002898,20231013
0.001662,0.002750,20231014
0.002145,0.002778,20231018
0.002320,0.002754,20231019
0.003033,0.002055,20231020
0.002143,0.002197,20231021
0.003723,0.002510,20231022
0.003624,0.002765,20231023
0.003407,0.002341,20231024
0.001722,0.002216,20231025
0.002062,0.002163,20231026
0.001638,0.002093,20231027
0.001726,0.002048,20231028
0.002011,0.002035,20231029
0.001967,0.001887,20231030
0.002583,0.001888,20231031
0.002589,0.001949,20231101
0.002654,0.002173,20231102
0.001898,0.002201,20231103
0.001986,0.002201,20231104
0.002116,0.002113,20231105
0.002680,0.002327,20231106
0.003017,0.002470,20231107
0.002621,0.002452,20231108
0.002032,0.002375,20231109
0.001863,0.002336,20231110
0.001714,0.002277,20231111
0.002070,0.002489,20231112
0.002116,0.002430,20231113
0.002313,0.002398,20231114
0.002279,0.002354,20231115
0.002573,0.001967,20231116
0.001804,0.001916,20231117
0.001771,0.001895,20231118
0.001814,0.001904,20231119
0.001467,0.001671,20231120
