dv/v,err,date
-0.005730,0.004646,20230603
-0.007174,0.004167,20230604
-0.007228,0.003866,20230605
-0.006627,0.003527,20230606
-0.006587,0.003199,20230607
-0.006678,0.002849,20230608
-0.006824,0.002740,20230609
-0.006916,0.002724,20230610
-0.006925,0.002941,20230611
-0.006937,0.002964,20230612
-0.006891,0.002793,20230613
-0.006647,0.002735,20230614
-0.006565,0.002691,20230615
-0.006569,0.002657,20230616
-0.006384,0.002608,20230617
-0.006241,0.002635,20230618
-0.006158,0.002575,20230619
-0.006006,0.002653,20230620
-0.006027,0.002780,20230621
-0.005857,0.002721,20230622
-0.005617,0.002609,20230623
-0.005444,0.002524,20230624
-0.005086,0.002421,20230625
-0.004795,0.002388,20230626
-0.004648,0.002246,20230627
-0.004756,0.002094,20230628
-0.004819,0.001955,20230629
-0.004638,0.001806,20230630
-0.004617,0.001716,20230701
-0.004460,0.001658,20230702
-0.004235,0.001507,20230703
-0.003940,0.001454,20230704
-0.003708,0.001486,20230706
-0.003529,0.001355,20230707
-0.003636,0.001493,20230708
-0.003567,0.001686,20230709
-0.003568,0.001880,20230710
-0.003106,0.002039,20230711
-0.002965,0.002192,20230712
-0.002808,0.002411,20230713
-0.002765,0.002568,20230714
-0.002547,0.002675,20230715
-0.002522,0.002854,20230716
-0.002522,0.002966,20230717
-0.002521,0.002901,20230718
-0.002456,0.002759,20230719
-0.002502,0.002773,20230720
-0.002183,0.002685,20230721
-0.002296,0.002747,20230722
-0.002437,0.002868,20230723
-0.002524,0.002974,20230724
-0.002302,0.002961,20230725
-0.002336,0.002976,20230726
-0.001927,0.002965,20230727
-0.002330,0.002981,20230728
-0.002304,0.003047,20230729
-0.002303,0.003072,20230730
-0.002174,0.003099,20230731
-0.001793,0.003298,20230801
-0.001381,0.003290,20230802
-0.001182,0.003484,20230803
-0.001494,0.003287,20230804
-0.001452,0.002998,20230805
-0.001225,0.002821,20230806
-0.000318,0.002186,20230812
-0.000185,0.001879,20230813
-0.000688,0.001531,20230814
-0.000622,0.001685,20230815
-0.000164,0.002134,20230816
0.000759,0.002102,20230817
0.001719,0.002659,20230818
0.002433,0.003293,20230819
0.002877,0.003276,20230820
0.002772,0.003293,20230821
0.003087,0.003282,20230822
0.003254,0.003305,20230823
0.002970,0.003388,20230824
0.003166,0.003384,20230825
0.003366,0.003469,20230826
0.003572,0.003401,20230827
0.003416,0.003419,20230828
0.003455,0.003389,20230829
0.003957,0.003407,20230830
0.004292,0.003425,20230831
0.004497,0.003406,20230901
0.004371,0.003399,20230902
0.004534,0.003357,20230903
0.004386,0.003321,20230904
0.003876,0.003233,20230905
0.003950,0.003164,20230906
0.003965,0.003135,20230907
0.003542,0.003052,20230908
0.003308,0.003053,20230909
0.003458,0.003009,20230910
0.003088,0.002973,20230911
0.002514,0.002685,20230913
0.002378,0.002484,20230914
0.002426,0.002322,20230915
0.002539,0.002220,20230916
0.002470,0.002056,20230917
0.003015,0.001995,20230918
0.003383,0.001919,20230919
0.003610,0.001765,20230920
0.004045,0.001670,20230921
0.004235,0.001716,20230922
0.004227,0.001663,20230923
0.004469,0.001551,20230924
0.004213,0.001617,20230925
0.004349,0.001648,20230926
0.004337,0.001631,20230927
0.004347,0.001700,20230928
0.004184,0.001735,20230929
0.004219,0.001796,20230930
0.004238,0.001815,20231001
0.003773,0.001751,20231002
0.003100,0.001695,20231003
0.002709,0.001543,20231004
0.002602,0.001452,20231005
0.002277,0.001511,20231006
0.002079,0.001482,20231007
0.001914,0.001403,20231008
0.001621,0.001411,20231009
0.001385,0.001399,20231010
0.001299,0.001344,20231011
0.000918,0.001271,20231012
0.000532,0.001237,20231013
-0.000202,0.001197,20231014
-0.000397,0.001486,20231017
-0.000517,0.001405,20231018
-0.000851,0.001262,20231019
-0.001140,0.001332,20231020
-0.001004,0.001326,20231021
-0.001671,0.001330,20231022
-0.001926,0.001315,20231023
-0.002281,0.001401,20231024
-0.001760,0.001352,20231025
-0.002491,0.001384,20231026
-0.002327,0.001375,20231027
-0.002249,0.001372,20231028
-0.002309,0.001351,20231029
-0.001635,0.001563,20231030
-0.001849,0.001676,20231031
-0.001808,0.001724,20231101
-0.001618,0.001837,20231102
-0.001493,0.001904,20231103
-0.001245,0.001834,20231104
-0.001779,0.001847,20231105
-0.002107,0.002043,20231106
-0.002397,0.001853,20231107
-0.001895,0.001843,20231108
-0.001801,0.001893,20231109
-0.001780,0.001761,20231110
-0.001703,0.001683,20231111
-0.001709,0.001784,20231112
-0.000921,0.001547,20231113
-0.000917,0.001602,20231114
-0.001074,0.001728,20231115
-0.001364,0.001655,20231116
-0.001691,0.001615,20231117
