dv/v,err,date
-0.007046,0.003584,20230603
-0.007102,0.003673,20230604
-0.007530,0.003167,20230605
-0.007532,0.002963,20230606
-0.007291,0.002722,20230607
-0.007311,0.002778,20230608
-0.007054,0.002680,20230609
-0.006762,0.002623,20230610
-0.006469,0.002601,20230611
-0.006509,0.002605,20230612
-0.006410,0.002566,20230613
-0.006375,0.002562,20230614
-0.006322,0.002503,20230615
-0.006359,0.002373,20230616
-0.006123,0.002279,20230617
-0.005857,0.002245,20230618
-0.005595,0.002188,20230619
-0.005589,0.002129,20230620
-0.005457,0.001988,20230621
-0.005489,0.001936,20230622
-0.005485,0.001848,20230623
-0.005435,0.001807,20230624
-0.005064,0.001725,20230625
-0.004933,0.001720,20230626
-0.004673,0.001604,20230627
-0.004530,0.001563,20230628
-0.004200,0.001559,20230629
-0.004160,0.001478,20230630
-0.003912,0.001433,20230701
-0.003747,0.001472,20230702
-0.003324,0.001460,20230703
-0.002968,0.001483,20230704
-0.002484,0.001463,20230706
-0.002413,0.001373,20230707
-0.002287,0.001352,20230708
-0.001970,0.001321,20230709
-0.001797,0.001281,20230710
-0.001471,0.001175,20230711
-0.001257,0.001117,20230712
-0.001076,0.001096,20230713
-0.000931,0.001033,20230714
-0.000742,0.000962,20230715
-0.000554,0.000995,20230716
-0.000234,0.000941,20230717
-0.000075,0.000980,20230718
0.000143,0.000972,20230719
0.000398,0.000971,20230720
0.000546,0.000904,20230721
0.000679,0.000894,20230722
0.001105,0.000920,20230723
0.001338,0.000977,20230724
0.001658,0.000981,20230725
0.001868,0.000977,20230726
0.001955,0.000968,20230727
0.002072,0.000948,20230728
0.002044,0.000952,20230729
0.002087,0.000977,20230730
0.002251,0.000998,20230731
0.002399,0.000971,20230801
0.002544,0.000985,20230802
0.002386,0.000943,20230803
0.002139,0.000869,20230804
0.001960,0.000969,20230805
0.001634,0.001004,20230812
0.001598,0.000932,20230813
0.001486,0.000926,20230814
0.001452,0.000941,20230815
0.001843,0.000852,20230816
0.002493,0.001018,20230817
0.002818,0.001156,20230818
0.003135,0.001206,20230819
0.003121,0.001220,20230820
0.003205,0.001263,20230821
0.003103,0.001172,20230822
0.002976,0.001056,20230823
0.002898,0.001054,20230824
0.003203,0.001117,20230825
0.003249,0.001095,20230826
0.003327,0.001042,20230827
0.003378,0.001051,20230828
0.003571,0.001057,20230829
0.003636,0.001023,20230830
0.003833,0.001017,20230831
0.003800,0.001040,20230901
0.003975,0.000995,20230902
0.004110,0.000964,20230903
0.004242,0.001010,20230904
0.004025,0.001103,20230905
0.003912,0.001040,20230906
0.003606,0.001060,20230907
0.003487,0.001032,20230908
0.003394,0.001002,20230909
0.003477,0.000970,20230910
0.003565,0.000931,20230911
0.003517,0.001020,20230913
0.003542,0.001025,20230914
0.003475,0.001057,20230915
0.003381,0.001024,20230916
0.003442,0.000990,20230917
0.004032,0.000916,20230918
0.004375,0.001028,20230919
0.004888,0.001094,20230920
0.004991,0.001156,20230921
0.005136,0.001262,20230922
0.004989,0.001222,20230923
0.004932,0.001194,20230924
0.004737,0.001208,20230925
0.004583,0.001154,20230926
0.004378,0.001206,20230927
0.004117,0.001286,20230928
0.003770,0.001264,20230929
0.003798,0.001345,20230930
0.003594,0.001375,20231001
0.003133,0.001283,20231002
0.002425,0.001212,20231003
0.001506,0.001264,20231004
0.000755,0.001167,20231005
0.000467,0.001284,20231006
-0.000136,0.001334,20231007
-0.000445,0.001287,20231008
-0.000643,0.001246,20231009
-0.000825,0.001249,20231010
-0.001238,0.001190,20231011
-0.001963,0.001241,20231012
-0.002736,0.001335,20231013
-0.003542,0.001361,20231014
-0.003115,0.001248,20231017
-0.002917,0.001283,20231018
-0.002803,0.001201,20231019
-0.002805,0.001275,20231020
-0.002870,0.001402,20231021
-0.003092,0.001395,20231022
-0.003111,0.001424,20231023
-0.003105,0.001435,20231024
-0.002493,0.001404,20231025
-0.002327,0.001492,20231026
-0.002403,0.001575,20231027
-0.002568,0.001554,20231028
-0.002547,0.001548,20231029
-0.002314,0.001424,20231030
-0.002328,0.001431,20231031
-0.002387,0.001444,20231101
-0.002204,0.001419,20231102
-0.001959,0.001282,20231103
-0.001794,0.001265,20231104
-0.001821,0.001250,20231105
-0.001792,0.001235,20231106
-0.001835,0.001252,20231107
-0.001562,0.001201,20231108
-0.001180,0.001049,20231109
-0.000646,0.001111,20231110
-0.000640,0.001115,20231111
-0.000615,0.001098,20231112
-0.000661,0.001129,20231113
-0.000510,0.001239,20231114
-0.000049,0.000756,20231115
0.000003,0.000733,20231116
-0.000117,0.000725,20231117
-0.000313,0.000651,20231118
-0.000249,0.000770,20231119
