dv/v,err,date
-0.001952,0.002897,20230603
-0.001242,0.002303,20230604
-0.001787,0.001984,20230605
-0.002002,0.001855,20230606
-0.001505,0.001759,20230607
-0.001418,0.001686,20230608
-0.001198,0.001630,20230609
-0.001266,0.001586,20230610
-0.001378,0.001644,20230611
-0.001288,0.001642,20230612
-0.001411,0.001677,20230613
-0.001501,0.001680,20230614
-0.001558,0.001694,20230615
-0.001578,0.001688,20230616
-0.001512,0.001695,20230617
-0.001844,0.001679,20230618
-0.001639,0.001524,20230619
-0.001105,0.001526,20230620
-0.001122,0.001473,20230621
-0.001044,0.001458,20230622
-0.000971,0.001478,20230623
-0.001183,0.001432,20230624
-0.001153,0.001388,20230625
-0.000751,0.001301,20230626
-0.000955,0.001254,20230627
-0.000866,0.001275,20230628
-0.000916,0.001272,20230629
-0.000967,0.001343,20230630
-0.000966,0.001319,20230701
-0.000861,0.001352,20230702
-0.001516,0.001387,20230703
-0.001549,0.001400,20230704
-0.001959,0.001430,20230706
-0.001920,0.001522,20230707
-0.002158,0.001576,20230708
-0.002401,0.001644,20230709
-0.002412,0.001691,20230710
-0.002127,0.001755,20230711
-0.002033,0.001847,20230712
-0.002234,0.001969,20230713
-0.002375,0.002000,20230714
-0.002446,0.002025,20230715
-0.002845,0.002109,20230716
-0.002832,0.002189,20230717
-0.002684,0.002177,20230718
-0.002748,0.002126,20230719
-0.002455,0.002028,20230720
-0.002580,0.001915,20230721
-0.002702,0.001891,20230722
-0.002849,0.001916,20230723
-0.003106,0.001953,20230724
-0.003221,0.001892,20230725
-0.003185,0.001884,20230726
-0.003029,0.001920,20230727
-0.002893,0.001847,20230728
-0.002754,0.001770,20230729
-0.002936,0.001772,20230730
-0.002922,0.001675,20230731
-0.002683,0.001703,20230801
-0.002566,0.001676,20230802
-0.002319,0.001611,20230803
-0.002080,0.001471,20230804
-0.001944,0.001402,20230805
-0.002455,0.001372,20230806
-0.002301,0.001367,20230807
-0.002256,0.001345,20230812
-0.002325,0.001318,20230813
-0.002246,0.001352,20230814
-0.002551,0.001296,20230815
-0.002723,0.001360,20230816
-0.003282,0.001432,20230817
-0.003103,0.001591,20230818
-0.001728,0.001718,20230819
-0.002006,0.001871,20230820
-0.001939,0.001840,20230821
-0.001772,0.001797,20230822
-0.001725,0.001684,20230823
-0.001673,0.001674,20230824
-0.001221,0.001665,20230825
-0.001310,0.001663,20230826
-0.001504,0.001593,20230827
-0.001224,0.001588,20230828
-0.000263,0.001620,20230829
0.000196,0.001656,20230830
-0.000148,0.001561,20230831
-0.000214,0.001458,20230901
-0.000067,0.001504,20230902
0.000107,0.001565,20230903
0.000129,0.001643,20230904
0.000360,0.001762,20230905
0.000842,0.001733,20230906
0.000575,0.001698,20230907
0.001046,0.001695,20230908
0.001186,0.001673,20230909
0.001389,0.001672,20230910
0.001578,0.001637,20230911
0.002446,0.001700,20230913
0.002682,0.001555,20230914
0.003032,0.001415,20230915
0.002928,0.001266,20230916
0.003298,0.001250,20230917
0.003637,0.001276,20230918
0.003622,0.001444,20230919
0.004128,0.001400,20230920
0.004488,0.001545,20230921
0.004722,0.001555,20230922
0.004888,0.001634,20230923
0.004728,0.001850,20230924
0.004801,0.001882,20230925
0.004535,0.001803,20230926
0.004617,0.001876,20230927
0.004642,0.001879,20230928
0.005136,0.001889,20230929
0.005002,0.001995,20230930
0.005157,0.001964,20231001
0.005209,0.002067,20231002
0.004904,0.002184,20231003
0.004666,0.002303,20231004
0.004917,0.002416,20231005
0.004353,0.002483,20231006
0.004595,0.002495,20231007
0.004486,0.002603,20231008
0.002937,0.002716,20231009
0.002644,0.002776,20231010
0.003205,0.002891,20231011
0.002333,0.002911,20231012
0.002335,0.002914,20231013
0.002113,0.002979,20231014
-0.000018,0.003634,20231017
-0.000089,0.003365,20231018
-0.000096,0.003099,20231019
-0.000301,0.002934,20231020
0.000015,0.002647,20231021
-0.000144,0.002367,20231022
0.000518,0.002379,20231023
0.000473,0.002222,20231024
0.001174,0.002451,20231025
0.000860,0.002821,20231027
0.000868,0.002732,20231028
0.000728,0.002673,20231029
0.001452,0.001678,20231030
0.001131,0.001703,20231031
0.001327,0.001792,20231101
0.001339,0.001804,20231102
0.000864,0.001853,20231103
0.001104,0.001912,20231104
0.000723,0.001799,20231105
0.000771,0.001850,20231106
0.000164,0.001974,20231107
0.000305,0.001910,20231108
0.000345,0.001951,20231109
0.000366,0.001970,20231110
0.000694,0.001986,20231111
0.000896,0.002073,20231112
0.001309,0.002053,20231113
0.001233,0.002028,20231114
0.000522,0.001983,20231115
0.000147,0.001716,20231116
0.000120,0.001716,20231117
0.000724,0.001703,20231118
0.000209,0.001531,20231119
0.000654,0.001456,20231120
