dv/v,err,date
-0.018385,0.006430,20230603
-0.017879,0.005729,20230604
-0.017626,0.005332,20230605
-0.017459,0.005042,20230606
-0.017369,0.004914,20230607
-0.017167,0.004820,20230608
-0.017099,0.004718,20230609
-0.016865,0.004673,20230610
-0.016582,0.004611,20230611
-0.016325,0.004454,20230612
-0.016118,0.004334,20230613
-0.015918,0.004218,20230614
-0.015832,0.004171,20230615
-0.015579,0.004064,20230616
-0.015521,0.003906,20230617
-0.015339,0.003912,20230618
-0.015203,0.003945,20230619
-0.014873,0.003867,20230620
-0.014669,0.003796,20230621
-0.014405,0.003744,20230622
-0.014188,0.003686,20230623
-0.014034,0.003677,20230624
-0.013809,0.003777,20230625
-0.013559,0.003782,20230626
-0.013324,0.003753,20230627
-0.013030,0.003694,20230628
-0.012606,0.003639,20230629
-0.012299,0.003592,20230630
-0.011976,0.003512,20230701
-0.011506,0.003465,20230702
-0.011215,0.003458,20230703
-0.010869,0.003451,20230704
-0.010362,0.003323,20230706
-0.010105,0.003169,20230707
-0.009849,0.003012,20230708
-0.009527,0.002968,20230709
-0.009187,0.002900,20230710
-0.008791,0.002782,20230711
-0.008378,0.002672,20230712
-0.008027,0.002546,20230713
-0.007683,0.002402,20230714
-0.007319,0.002300,20230715
-0.006858,0.002201,20230716
-0.006358,0.002083,20230717
-0.005957,0.002053,20230718
-0.005489,0.001995,20230719
-0.004892,0.001940,20230720
-0.003902,0.001888,20230721
-0.003492,0.001844,20230722
-0.001609,0.001809,20230723
-0.001158,0.001791,20230724
-0.000666,0.001764,20230725
-0.000131,0.001749,20230726
0.000849,0.001737,20230727
0.001024,0.001692,20230728
0.001041,0.001669,20230729
0.001107,0.001650,20230730
0.001032,0.001602,20230731
0.000962,0.001573,20230801
0.000925,0.001545,20230802
0.000676,0.001483,20230803
-0.000473,0.001434,20230804
-0.000320,0.001442,20230805
-0.000673,0.001331,20230812
-0.000648,0.001286,20230813
-0.000522,0.001200,20230814
-0.000297,0.001119,20230815
0.001163,0.001084,20230816
0.002083,0.001056,20230817
0.003058,0.001068,20230818
0.003128,0.001060,20230819
0.003086,0.001057,20230820
0.002934,0.001041,20230821
0.002878,0.001040,20230822
0.002878,0.001019,20230823
0.002835,0.001009,20230824
0.002996,0.001013,20230825
0.003095,0.001016,20230826
0.003201,0.001029,20230827
0.003414,0.001064,20230828
0.003623,0.001081,20230829
0.003582,0.001108,20230830
0.003665,0.001139,20230831
0.003943,0.001160,20230901
0.004340,0.001191,20230902
0.004789,0.001239,20230903
0.005218,0.001297,20230904
0.005242,0.001317,20230905
0.005367,0.001349,20230906
0.005313,0.001415,20230907
0.005242,0.001460,20230908
0.005271,0.001503,20230909
0.005329,0.001521,20230910
0.005612,0.001565,20230911
0.005839,0.001588,20230913
0.005953,0.001596,20230914
0.006033,0.001621,20230915
0.006041,0.001635,20230916
0.006004,0.001646,20230917
0.006359,0.001762,20230918
0.006535,0.001861,20230919
0.006872,0.001918,20230920
0.007408,0.002002,20230921
0.007829,0.002081,20230922
0.007935,0.002174,20230923
0.007883,0.002278,20230924
0.007854,0.002281,20230925
0.007954,0.002292,20230926
0.007792,0.002318,20230927
0.007767,0.002308,20230928
0.007841,0.002343,20230929
0.007921,0.002379,20230930
0.008002,0.002399,20231001
0.008038,0.002365,20231002
0.007526,0.002372,20231003
0.006931,0.002296,20231004
0.006572,0.002257,20231005
0.006328,0.002238,20231006
0.006014,0.002206,20231007
0.005621,0.002199,20231008
0.005332,0.002196,20231009
0.005182,0.002165,20231010
0.004796,0.002158,20231011
0.004162,0.002070,20231012
0.003538,0.002014,20231013
0.002876,0.001972,20231014
0.002421,0.001969,20231015
0.002368,0.001829,20231017
0.002144,0.001837,20231018
0.002057,0.001817,20231019
0.001978,0.001827,20231020
0.001880,0.001884,20231021
0.001809,0.002025,20231022
0.001535,0.002169,20231023
0.001401,0.002364,20231024
0.001544,0.002610,20231025
0.001494,0.002821,20231026
0.001391,0.003078,20231027
0.001102,0.003382,20231028
0.001108,0.003473,20231029
0.001323,0.003814,20231030
0.001378,0.004041,20231031
0.001214,0.004207,20231101
0.001113,0.004296,20231102
0.001046,0.004248,20231103
0.000905,0.004171,20231104
0.000832,0.004242,20231105
0.000800,0.004298,20231106
0.000617,0.004378,20231107
0.000672,0.004429,20231108
0.000652,0.004440,20231109
0.000873,0.004391,20231110
0.000962,0.004355,20231111
0.001112,0.004357,20231112
0.002036,0.003876,20231113
0.002282,0.003957,20231114
0.002465,0.004001,20231115
0.003038,0.004087,20231116
0.003759,0.004029,20231117
