dv/v,err,date
-0.007438,0.006702,20230603
-0.007391,0.006536,20230604
-0.008284,0.006223,20230605
-0.008503,0.005904,20230606
-0.008534,0.005486,20230607
-0.008467,0.005356,20230608
-0.008153,0.005247,20230609
-0.008234,0.005238,20230610
-0.008235,0.005311,20230611
-0.008365,0.005335,20230612
-0.008402,0.005262,20230613
-0.007934,0.005222,20230614
-0.007779,0.005225,20230615
-0.007682,0.005275,20230616
-0.007455,0.005216,20230617
-0.006801,0.005171,20230618
-0.006010,0.004938,20230619
-0.005655,0.004761,20230620
-0.005257,0.004593,20230621
-0.005140,0.004528,20230622
-0.004825,0.004398,20230623
-0.004527,0.004307,20230624
-0.004070,0.004270,20230625
-0.003864,0.004206,20230626
-0.003886,0.004123,20230627
-0.003605,0.004039,20230628
-0.003296,0.003932,20230629
-0.003277,0.003943,20230630
-0.003456,0.003926,20230701
-0.003781,0.003960,20230702
-0.004045,0.004049,20230703
-0.004358,0.004248,20230704
-0.004278,0.004249,20230706
0.001093,0.004284,20230707
0.001301,0.004305,20230708
0.001230,0.004457,20230709
0.001001,0.004532,20230710
0.000878,0.004582,20230711
0.000705,0.004662,20230712
0.000292,0.004709,20230713
-0.000096,0.004680,20230714
-0.000010,0.004660,20230715
-0.000623,0.004611,20230716
-0.001070,0.004472,20230717
-0.001070,0.004456,20230718
-0.001285,0.004442,20230719
-0.001568,0.004405,20230720
-0.001717,0.004074,20230721
-0.005270,0.003587,20230722
-0.003389,0.003071,20230723
-0.003102,0.002996,20230724
-0.004600,0.002999,20230725
-0.004752,0.003030,20230726
-0.004530,0.002987,20230727
-0.003991,0.002932,20230728
-0.002357,0.002556,20230729
-0.001869,0.002408,20230730
-0.003022,0.002397,20230731
-0.002858,0.002436,20230801
-0.002667,0.002563,20230802
-0.001200,0.002645,20230803
-0.001210,0.002656,20230804
-0.000762,0.002703,20230805
-0.000592,0.002703,20230806
-0.000673,0.002677,20230807
-0.001769,0.002541,20230812
-0.001429,0.002323,20230813
-0.001258,0.002183,20230814
-0.001180,0.002120,20230815
-0.001402,0.002057,20230816
-0.001145,0.002078,20230817
-0.001424,0.001990,20230818
-0.001716,0.001942,20230819
-0.001825,0.001973,20230820
-0.001714,0.001954,20230821
-0.001824,0.001924,20230822
-0.001651,0.001833,20230823
-0.001504,0.001817,20230824
-0.001272,0.001779,20230825
-0.001279,0.001721,20230826
-0.001012,0.001744,20230827
-0.000876,0.001792,20230828
-0.000633,0.001792,20230829
-0.000617,0.001894,20230830
-0.000456,0.001878,20230831
-0.000483,0.001820,20230901
-0.000436,0.001650,20230902
-0.000458,0.001586,20230903
-0.000172,0.001565,20230904
-0.000114,0.001597,20230905
0.000012,0.001548,20230906
-0.000276,0.001577,20230907
-0.000353,0.001594,20230908
-0.000470,0.001598,20230909
-0.000145,0.001560,20230910
-0.000038,0.001544,20230911
0.000245,0.001502,20230913
0.000406,0.001465,20230914
0.000647,0.001406,20230915
0.000868,0.001439,20230916
0.000882,0.001523,20230917
0.000983,0.001666,20230918
0.001040,0.001823,20230919
0.001063,0.001996,20230920
0.001145,0.002018,20230921
0.000736,0.002011,20230922
0.000319,0.002038,20230923
0.000331,0.002253,20230924
0.000164,0.002271,20230925
0.000122,0.002337,20230926
-0.000012,0.002362,20230927
-0.000135,0.002357,20230928
-0.000313,0.002386,20230929
-0.000601,0.002521,20230930
-0.000626,0.002658,20231001
-0.000501,0.002702,20231002
-0.000266,0.002720,20231003
-0.000210,0.002683,20231004
0.000000,0.002628,20231005
0.000000,0.002580,20231006
0.000000,0.002516,20231007
0.000000,0.002502,20231008
0.000207,0.002460,20231009
0.000292,0.002471,20231010
0.000369,0.002445,20231011
0.000613,0.002485,20231012
0.000883,0.002394,20231013
0.001141,0.002321,20231014
0.000995,0.002194,20231017
0.000934,0.002128,20231018
0.000983,0.002056,20231019
0.001076,0.001957,20231020
0.001139,0.001874,20231021
0.001001,0.001914,20231022
0.000664,0.001885,20231023
0.000876,0.001901,20231024
0.000231,0.001903,20231025
-0.000069,0.001998,20231027
-0.000175,0.001881,20231028
-0.000244,0.001898,20231029
-0.000277,0.001925,20231030
-0.000005,0.001876,20231031
0.000069,0.001840,20231101
0.000211,0.001835,20231102
0.000101,0.001838,20231103
0.000190,0.001922,20231104
-0.000026,0.002103,20231105
-0.000037,0.002146,20231106
-0.000027,0.002232,20231107
-0.000052,0.002191,20231108
-0.000074,0.002252,20231109
0.000103,0.002240,20231110
0.000150,0.002278,20231111
0.000276,0.002292,20231112
0.000170,0.002320,20231113
0.000294,0.002412,20231114
0.000642,0.002524,20231115
0.000815,0.002241,20231116
0.001402,0.002419,20231117
0.001924,0.002695,20231118
0.002097,0.003008,20231119
0.002236,0.003278,20231120
