dv/v,err,date
-0.007332,0.008181,20230603
-0.015568,0.007661,20230604
-0.012769,0.014089,20230605
-0.010037,0.010073,20230607
-0.008480,0.009543,20230608
-0.005843,0.008396,20230609
-0.005948,0.007923,20230610
-0.004919,0.007613,20230611
-0.004988,0.006222,20230612
-0.005343,0.006314,20230613
-0.005666,0.005914,20230614
-0.005436,0.005712,20230615
-0.004285,0.005481,20230616
-0.001895,0.005283,20230617
-0.000751,0.005049,20230618
-0.001196,0.005360,20230620
-0.001425,0.004715,20230621
-0.002905,0.004583,20230622
-0.002908,0.004650,20230623
-0.003265,0.004537,20230624
-0.002683,0.004702,20230625
-0.002180,0.004682,20230626
-0.002012,0.004669,20230627
-0.002608,0.004712,20230628
-0.003373,0.004750,20230629
-0.003615,0.004640,20230630
-0.004287,0.004632,20230701
-0.004138,0.004656,20230702
-0.003791,0.004796,20230703
-0.003597,0.004824,20230704
-0.003380,0.004856,20230706
-0.003474,0.004733,20230707
-0.003936,0.004860,20230708
-0.004016,0.004777,20230709
-0.004173,0.004814,20230710
-0.003997,0.004806,20230711
-0.003986,0.004841,20230712
-0.004224,0.004794,20230713
-0.004531,0.004859,20230714
-0.004634,0.004852,20230715
-0.004439,0.004766,20230716
-0.004372,0.004683,20230717
-0.004455,0.004654,20230718
-0.004268,0.004545,20230719
-0.004174,0.004417,20230720
-0.003898,0.004310,20230721
-0.003776,0.004244,20230722
-0.003547,0.004183,20230723
-0.003371,0.004220,20230724
-0.003415,0.004206,20230725
-0.003386,0.004232,20230726
-0.003326,0.004204,20230727
-0.001764,0.003845,20230728
-0.002062,0.003916,20230729
-0.002002,0.003937,20230730
-0.001918,0.003947,20230731
-0.001843,0.004020,20230801
-0.001840,0.004066,20230802
0.001415,0.002811,20230913
0.000886,0.003031,20230914
0.001797,0.002796,20230915
0.002651,0.002708,20230916
0.003027,0.002646,20230917
0.003027,0.002625,20230918
0.002989,0.002648,20230919
0.003000,0.002778,20230920
0.003052,0.002799,20230921
0.003128,0.002933,20230922
0.003593,0.002813,20230923
0.003787,0.002986,20230924
0.004127,0.002876,20230925
0.003633,0.003023,20230926
0.003552,0.003276,20230927
0.002994,0.003172,20230928
0.002957,0.003130,20230929
0.002755,0.003136,20230930
0.002310,0.003188,20231001
-0.000033,0.003575,20231002
-0.000307,0.003492,20231005
-0.000798,0.003314,20231006
-0.001108,0.002756,20231007
-0.001468,0.002772,20231009
-0.001557,0.002831,20231010
-0.001577,0.003174,20231013
0.001464,0.003774,20231015
0.000694,0.003347,20231018
0.000180,0.003057,20231019
-0.000007,0.002834,20231020
0.000637,0.002967,20231021
-0.001867,0.002954,20231022
-0.001597,0.003007,20231023
-0.001243,0.002908,20231024
-0.001109,0.002636,20231025
-0.001664,0.002505,20231027
-0.001847,0.002571,20231028
-0.001694,0.002452,20231029
-0.001327,0.002349,20231030
-0.000742,0.002447,20231031
-0.000365,0.002607,20231101
-0.000579,0.002295,20231102
-0.000592,0.002182,20231103
0.001514,0.001957,20231104
0.001364,0.001975,20231108
0.001481,0.001873,20231109
0.001572,0.001742,20231110
0.001620,0.001679,20231111
0.001640,0.001641,20231112
0.001506,0.001670,20231113
0.001437,0.001711,20231114
0.001505,0.001692,20231115
