dv/v,err,date
-0.012681,0.004676,20230603
-0.014903,0.003687,20230604
-0.016052,0.003410,20230605
-0.016724,0.003297,20230606
-0.016777,0.003250,20230607
-0.016895,0.003164,20230608
-0.016872,0.003135,20230609
-0.016715,0.003131,20230610
-0.016479,0.003104,20230611
-0.016380,0.003036,20230612
-0.016257,0.003004,20230613
-0.016164,0.002949,20230614
-0.016028,0.002936,20230615
-0.016251,0.002931,20230616
-0.016075,0.002892,20230617
-0.015714,0.002879,20230618
-0.015257,0.002873,20230619
-0.014997,0.002821,20230620
-0.014752,0.002783,20230621
-0.014539,0.002724,20230622
-0.014241,0.002632,20230623
-0.014021,0.002572,20230624
-0.013705,0.002558,20230625
-0.013419,0.002495,20230626
-0.013270,0.002448,20230627
-0.013085,0.002389,20230628
-0.012772,0.002338,20230629
-0.012537,0.002275,20230630
-0.012319,0.002224,20230701
-0.012004,0.002180,20230702
-0.011646,0.002168,20230703
-0.011299,0.002152,20230704
-0.010888,0.002130,20230706
-0.010685,0.002092,20230707
-0.010409,0.002072,20230708
-0.010030,0.002082,20230709
-0.009596,0.002060,20230710
-0.009217,0.002037,20230711
-0.008867,0.002026,20230712
-0.008504,0.002008,20230713
-0.008224,0.001984,20230714
-0.007995,0.001946,20230715
-0.007685,0.001890,20230716
-0.007331,0.001828,20230717
-0.007050,0.001798,20230718
-0.006665,0.001759,20230719
-0.006274,0.001717,20230720
-0.005907,0.001645,20230721
-0.005576,0.001594,20230722
-0.005056,0.001547,20230723
-0.004564,0.001491,20230724
-0.004117,0.001448,20230725
-0.003671,0.001396,20230726
-0.003282,0.001353,20230727
-0.003061,0.001332,20230728
-0.002864,0.001291,20230729
-0.002528,0.001271,20230730
-0.002126,0.001251,20230731
-0.001907,0.001169,20230801
-0.001148,0.001128,20230802
-0.001082,0.001102,20230803
-0.000861,0.001066,20230804
-0.000798,0.001039,20230805
-0.000721,0.001064,20230812
-0.000628,0.000972,20230813
-0.000281,0.000926,20230814
-0.000075,0.000908,20230815
0.001631,0.000897,20230816
0.003115,0.000936,20230817
0.003958,0.001023,20230818
0.004365,0.001035,20230819
0.004499,0.001066,20230820
0.004658,0.001093,20230821
0.004721,0.001118,20230822
0.004698,0.001110,20230823
0.004730,0.001134,20230824
0.005068,0.001164,20230825
0.005129,0.001225,20230826
0.005309,0.001263,20230827
0.005449,0.001295,20230828
0.005883,0.001338,20230829
0.006006,0.001381,20230830
0.006169,0.001411,20230831
0.006169,0.001454,20230901
0.006320,0.001483,20230902
0.006509,0.001509,20230903
0.006776,0.001532,20230904
0.006766,0.001546,20230905
0.006667,0.001520,20230906
0.006441,0.001552,20230907
0.006371,0.001599,20230908
0.005976,0.001671,20230909
0.005977,0.001727,20230910
0.006154,0.001790,20230911
0.006150,0.001865,20230913
0.006172,0.001906,20230914
0.006142,0.001971,20230915
0.005970,0.002041,20230916
0.005882,0.002098,20230917
0.006395,0.002160,20230918
0.006841,0.002237,20230919
0.007228,0.002295,20230920
0.007549,0.002357,20230921
0.007910,0.002384,20230922
0.007967,0.002446,20230923
0.008050,0.002477,20230924
0.008081,0.002495,20230925
0.008071,0.002502,20230926
0.008095,0.002524,20230927
0.008200,0.002525,20230928
0.008324,0.002549,20230929
0.008447,0.002586,20230930
0.008467,0.002610,20231001
0.008432,0.002527,20231002
0.008227,0.002435,20231003
0.008001,0.002366,20231004
0.007673,0.002285,20231005
0.007509,0.002187,20231006
0.007124,0.002135,20231007
0.006898,0.002025,20231008
0.006699,0.001975,20231009
0.006579,0.001925,20231010
0.006219,0.001876,20231011
0.005647,0.001814,20231012
0.004835,0.001747,20231013
0.004333,0.001727,20231014
0.003623,0.001747,20231017
0.003642,0.001784,20231018
0.003574,0.001853,20231019
0.003440,0.001925,20231020
0.003273,0.002057,20231021
0.003450,0.002193,20231022
0.003396,0.002341,20231023
0.003442,0.002612,20231024
0.003599,0.002889,20231025
0.003798,0.003103,20231026
0.003738,0.003282,20231027
0.003851,0.003287,20231028
0.003965,0.003312,20231029
0.004173,0.003509,20231030
0.004208,0.003711,20231031
0.004170,0.003799,20231101
0.004177,0.003794,20231102
0.004173,0.003725,20231103
0.004086,0.003639,20231104
0.004148,0.003659,20231105
0.004080,0.003695,20231106
0.003983,0.003690,20231107
0.003905,0.003700,20231108
0.003941,0.003723,20231109
0.003783,0.003675,20231110
0.003619,0.003622,20231111
0.003631,0.003579,20231112
0.003631,0.003553,20231113
0.003562,0.003615,20231114
0.002102,0.002462,20231115
0.001957,0.002421,20231116
0.001750,0.002378,20231117
0.001906,0.002328,20231118
0.001837,0.002331,20231119
