dv/v,err,date
-0.000436,0.003827,20230603
-0.006982,0.003768,20230604
-0.007076,0.003549,20230605
-0.006761,0.003495,20230606
-0.006748,0.003308,20230607
-0.006601,0.003215,20230608
-0.006404,0.003118,20230609
-0.006254,0.003022,20230610
-0.005944,0.002999,20230611
-0.004624,0.002936,20230612
-0.004563,0.002886,20230613
-0.004165,0.002827,20230614
-0.003826,0.002811,20230615
-0.003064,0.002697,20230616
-0.002483,0.002723,20230617
-0.000788,0.002709,20230618
0.000559,0.002672,20230619
0.001961,0.002562,20230620
0.001867,0.002482,20230621
0.001636,0.002436,20230622
0.001509,0.002411,20230623
0.001338,0.002386,20230624
0.001239,0.002402,20230625
0.000935,0.002370,20230626
0.000639,0.002332,20230627
0.000184,0.002295,20230628
-0.000173,0.002292,20230629
-0.000493,0.002184,20230630
-0.003427,0.002135,20230701
-0.003461,0.002082,20230702
-0.003676,0.002088,20230703
-0.003698,0.002103,20230704
-0.003799,0.002077,20230706
-0.003899,0.002021,20230707
-0.004011,0.001972,20230708
-0.003848,0.001964,20230709
-0.003660,0.001936,20230710
-0.003442,0.001901,20230711
-0.003392,0.001926,20230712
-0.001656,0.001895,20230713
-0.001759,0.001882,20230714
-0.001557,0.001865,20230715
-0.001747,0.001855,20230716
-0.001764,0.001776,20230717
-0.001520,0.001764,20230718
-0.001384,0.001693,20230719
-0.001298,0.001619,20230720
-0.001190,0.001500,20230721
-0.000850,0.001385,20230722
-0.000849,0.001214,20230723
-0.000708,0.001165,20230724
-0.000892,0.001131,20230725
-0.000752,0.001198,20230726
-0.000826,0.001174,20230727
-0.000779,0.001122,20230728
-0.000385,0.001072,20230729
-0.000111,0.001019,20230730
-0.000110,0.000979,20230731
-0.000100,0.000994,20230801
0.000023,0.001045,20230802
0.001023,0.001200,20230803
0.001028,0.001347,20230804
0.001570,0.001419,20230805
0.001156,0.001465,20230806
0.000972,0.001504,20230807
0.000629,0.001467,20230808
0.001552,0.001440,20230812
0.001960,0.001330,20230813
0.002275,0.001289,20230814
0.003008,0.001264,20230815
0.002681,0.001271,20230816
0.003589,0.001169,20230817
0.003723,0.001151,20230818
0.003986,0.001252,20230819
0.003987,0.001366,20230820
0.003303,0.001455,20230821
0.003007,0.001491,20230822
0.002899,0.001436,20230823
0.002876,0.001359,20230824
0.002731,0.001375,20230825
0.002664,0.001429,20230826
0.002559,0.001489,20230827
0.002280,0.001546,20230828
0.002462,0.001601,20230829
0.002334,0.001697,20230830
0.002347,0.001728,20230831
0.002416,0.001697,20230901
0.002584,0.001595,20230902
0.002850,0.001592,20230903
0.003043,0.001579,20230904
0.003855,0.001575,20230905
0.004283,0.001557,20230906
0.004467,0.001533,20230907
0.004187,0.001500,20230908
0.004241,0.001483,20230909
0.004313,0.001433,20230910
0.004075,0.001419,20230911
0.003831,0.001457,20230913
0.003165,0.001497,20230914
0.002997,0.001429,20230915
0.002584,0.001355,20230916
0.002004,0.001354,20230917
0.000944,0.001336,20230918
0.001002,0.001364,20230919
0.000304,0.001381,20230920
-0.000047,0.001380,20230921
-0.000042,0.001371,20230922
-0.000068,0.001457,20230923
-0.000399,0.001665,20230924
-0.000193,0.001762,20230925
0.000173,0.001880,20230926
0.001016,0.002064,20230927
0.001088,0.002116,20230928
0.001327,0.002188,20230929
0.001557,0.002306,20230930
0.001782,0.002402,20231001
0.002066,0.002316,20231002
0.002756,0.002289,20231003
0.002657,0.002048,20231004
0.002262,0.001917,20231005
0.002028,0.001793,20231006
0.002375,0.001749,20231007
0.002102,0.001636,20231008
0.002003,0.001586,20231009
0.001728,0.001465,20231010
0.001800,0.001398,20231011
0.001161,0.001299,20231012
0.000990,0.001149,20231013
0.000288,0.001066,20231014
0.000628,0.001047,20231018
0.000738,0.001095,20231019
0.000044,0.001067,20231020
0.000086,0.001134,20231021
-0.000075,0.001280,20231022
0.000324,0.001369,20231023
0.000281,0.001449,20231024
0.000083,0.001415,20231025
0.000495,0.001442,20231026
-0.000036,0.001549,20231027
-0.000185,0.001618,20231028
-0.000154,0.001651,20231029
-0.000350,0.001671,20231030
-0.000407,0.001746,20231031
-0.000581,0.001805,20231101
-0.000706,0.001852,20231102
-0.000860,0.001858,20231103
-0.000782,0.001862,20231104
-0.001298,0.001964,20231105
-0.001478,0.002012,20231106
-0.001324,0.002052,20231107
-0.001682,0.002101,20231108
-0.001719,0.002095,20231109
-0.001676,0.002096,20231110
-0.001778,0.002096,20231111
-0.001583,0.002137,20231112
-0.001639,0.002136,20231113
-0.001566,0.002147,20231114
-0.001430,0.002209,20231115
-0.000829,0.001762,20231116
-0.001156,0.001759,20231117
-0.001104,0.001787,20231118
-0.001145,0.001912,20231119
-0.001101,0.001977,20231120
