dv/v,err,date
-0.008208,0.003724,20230603
-0.007934,0.003289,20230604
-0.008065,0.002973,20230605
-0.008265,0.002586,20230606
-0.008471,0.002325,20230607
-0.008426,0.002226,20230608
-0.008379,0.002160,20230609
-0.008140,0.002128,20230610
-0.007854,0.002175,20230611
-0.007776,0.002072,20230612
-0.007785,0.002004,20230613
-0.007789,0.001967,20230614
-0.007853,0.001913,20230615
-0.007839,0.001801,20230616
-0.007820,0.001772,20230617
-0.007830,0.001762,20230618
-0.007678,0.001822,20230619
-0.007547,0.001824,20230620
-0.007582,0.001739,20230621
-0.007541,0.001706,20230622
-0.007531,0.001645,20230623
-0.007678,0.001592,20230624
-0.007511,0.001618,20230625
-0.007343,0.001580,20230626
-0.007224,0.001518,20230627
-0.007056,0.001451,20230628
-0.007027,0.001378,20230629
-0.007001,0.001303,20230630
-0.006850,0.001248,20230701
-0.006720,0.001230,20230702
-0.006470,0.001216,20230703
-0.006161,0.001261,20230704
-0.005948,0.001200,20230706
-0.005768,0.001130,20230707
-0.005722,0.001123,20230708
-0.005569,0.001151,20230709
-0.005408,0.001144,20230710
-0.005165,0.001160,20230711
-0.004917,0.001171,20230712
-0.004724,0.001198,20230713
-0.004576,0.001211,20230714
-0.004471,0.001232,20230715
-0.004324,0.001284,20230716
-0.004289,0.001279,20230717
-0.004197,0.001287,20230718
-0.004035,0.001324,20230719
-0.003982,0.001311,20230720
-0.003875,0.001353,20230721
-0.003821,0.001404,20230722
-0.003662,0.001427,20230723
-0.003502,0.001458,20230724
-0.003268,0.001434,20230725
-0.003034,0.001414,20230726
-0.002870,0.001389,20230727
-0.002848,0.001410,20230728
-0.002885,0.001393,20230729
-0.002676,0.001416,20230730
-0.002681,0.001528,20230731
-0.002339,0.001546,20230801
-0.002010,0.001564,20230802
-0.001997,0.001595,20230803
-0.002193,0.001606,20230804
-0.002073,0.001727,20230805
-0.002024,0.001794,20230812
-0.001486,0.001724,20230813
-0.001190,0.001703,20230814
-0.001053,0.001617,20230815
-0.000569,0.001536,20230816
0.000411,0.001471,20230817
0.001391,0.001253,20230818
0.001485,0.001292,20230819
0.001435,0.001311,20230820
0.001421,0.001263,20230821
0.001511,0.001225,20230822
0.001523,0.001251,20230823
0.001516,0.001225,20230824
0.001686,0.001389,20230825
0.001768,0.001352,20230826
0.001873,0.001341,20230827
0.002034,0.001329,20230828
0.002180,0.001347,20230829
0.002128,0.001379,20230830
0.002059,0.001402,20230831
0.002258,0.001414,20230901
0.002523,0.001443,20230902
0.002627,0.001459,20230903
0.002582,0.001394,20230904
0.002419,0.001353,20230905
0.002395,0.001255,20230906
0.002331,0.001180,20230907
0.002370,0.001154,20230908
0.002229,0.001118,20230909
0.002152,0.001082,20230910
0.002244,0.001061,20230911
0.002550,0.000949,20230913
0.002703,0.000911,20230914
0.002875,0.000856,20230915
0.003124,0.000831,20230916
0.003380,0.000857,20230917
0.004074,0.000844,20230918
0.004476,0.000917,20230919
0.004837,0.001000,20230920
0.005204,0.001060,20230921
0.005645,0.001160,20230922
0.005882,0.001213,20230923
0.006124,0.001305,20230924
0.006158,0.001316,20230925
0.006094,0.001312,20230926
0.006083,0.001392,20230927
0.006012,0.001432,20230928
0.005922,0.001488,20230929
0.005923,0.001594,20230930
0.006001,0.001656,20231001
0.005746,0.001645,20231002
0.005593,0.001796,20231003
0.005100,0.001889,20231004
0.004393,0.001815,20231005
0.004166,0.001919,20231006
0.003899,0.001877,20231007
0.003465,0.001894,20231008
0.003447,0.001946,20231009
0.003073,0.001936,20231010
0.002977,0.001962,20231011
0.002411,0.001971,20231012
0.001987,0.001970,20231013
0.001233,0.001964,20231014
0.001058,0.002010,20231015
0.000574,0.001714,20231017
0.000866,0.001695,20231018
0.000988,0.001620,20231019
0.000907,0.001729,20231020
0.000675,0.001778,20231021
0.000520,0.001839,20231022
0.000621,0.001898,20231023
0.000922,0.001765,20231024
0.001413,0.001833,20231025
0.001876,0.002001,20231026
0.001844,0.001980,20231027
0.002096,0.002030,20231028
0.002143,0.001999,20231029
0.002658,0.001858,20231030
0.002675,0.001832,20231031
0.002746,0.001807,20231101
0.002687,0.001756,20231102
0.002831,0.001756,20231103
0.002840,0.001762,20231104
0.002943,0.001745,20231105
0.003179,0.001750,20231106
0.003188,0.001802,20231107
0.003147,0.001679,20231108
0.003301,0.001670,20231109
0.003397,0.001643,20231110
0.003492,0.001695,20231111
0.003607,0.001758,20231112
0.003398,0.001573,20231113
0.003422,0.001569,20231114
0.003490,0.001612,20231115
0.003422,0.001557,20231116
0.003836,0.001519,20231117
